song,artist,track_id,album_id,album_name,artist_id,popularity,release_date,track_duration_ms
Howells Delight,The Baltimore Consort,6DmbUMnRvXGe9TVtnnwxbR,1M7qRCURGI2uSZNYH1kiuL,The Best of the Baltimore Consort,4kCZ5nyurc9eIqLJfUcW0Y,3.0,2011-02-01,240400.0
Martha Served,I Hate Sally,0LHKbFNekwYgXdiWRaMmgI,1iqEujFGo13FM60cunbpMy,Don't Worry Lady,4TsZ61aAZiOqAPoX0xevDu,1.0,2007-06-12,138760.0
Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra,0tlhn27eYKgk0R0L65lz8P,1PI5evPxRNBxWV5OLgz555,"Most Amazing Movie, Musical & TV Themes, Vol.6",5XH7RieKeVpt2zcr1yOMaS,0.0,2022-10-07,199986.0
Misery Path (From the Privilege of Evil),Amorphis,7d3iTe7NNJzt4sviLqQmgb,2IaThjDDWu0WoHX2ZsbqFP,Karelian Isthmus,2UOVgpgiNTC6KK0vSC77aD,7.0,1992-11-01,255026.0
Halloween,Dead Kennedys,1nsVH6o1ixnVtKn2X3jJVY,2RJyh3Aw5mOxwkj0YO6OVS,"Plastic Surgery Disasters/In God We Trust, Inc.",30U8fYtiNpeA5KH6H87QUV,38.0,1986-11-15,215160.0
Parto em terras distantes,Brigada Victor Jara,69a3ue3HX6WHfsF8A8JW74,07Tqfum6e7XA2Ec8AoPus6,Novas Vos Trago,5BHGIdYuoOW01ip5QZLIKP,0.0,1998-07-20,315680.0
What Drives The Weak,Shadows Fall,5QNj3V5X2Hv8qSnejQ06eO,5VOseziKfmKNm8TgQebrVZ,The War Within,1HaiS1sFo8qkc6tF5Mw1M0,33.0,2004-07-13,283773.0
Life Force,Vanessa Daou,164TVSjQWkungz9WkJpJ7b,47abVUaS8ndqHQPixFMlZs,Joe Sent Me,0r13pf5aRSEWKl7m7qMXXT,1.0,2008,232946.0
The Dance Of Europe,Dave Brockie Experience,4MBbVTEv2jdJwfgaR1UBxT,6TnxZDldaUif7e7LBZ7meG,Diarrhea of a Madman,1siVccYZR8N2O4mEZflCpC,4.0,2001-03-20,136733.0
Spoonie Is Back,Spoonie Gee,4mAfwNyGKbI0n3uTyPUvHq,2NvOoh9PhXudehwBzZvTCS,The Message: The Roots of Rap,33xY3kRRRiPLsDjnfE3Lpw,4.0,1999-08-16,391373.0
"""I'm Not Moving""",Phil Collins,6bfKh2xikqECjcgirZKx9k,1cM3r0WQZWNkCpEbmFjLln,Face Value (Deluxe Editon),4lxfqrEsLX6N1N4OCSkILp,31.0,1981-01-01,155373.0
Radar For Love,Kiss,1IpEE28rEthmZ0SLTbsUL1,0WDUDVt1ZYTJX8KPwH3ast,Asylum,07XSN3sPlIlB2L2XNcTwJw,21.0,1985-09-16,241066.0
Antarctica Starts Here,John Cale,4sTVaLiCMtaS3m3Q6iU6G5,6oNqOeW4FADs5D8fEXOT2n,Paris 1919 (Deluxe Edition),5MWBg16f5UYiaSlyVhzlIW,25.0,2024-11-15,171824.0
Everyone make love,Cool cavemen,5fmXkP7wdkB1Nkc6XsdUT4,05nMQrgGZdd0Nm0SMHDJp9,Multipolar,4552HtAf5pHoclh0lPpfcv,0.0,2013-10-14,235346.0
Calm Da Seas,Dave Hollister,5rzpKPELr6IKTKVcKqLhPt,5sJ67iE95Z1IGZz7GLIlmF,Witness Protection,5Z1reBuaReg2pg72I2mnMm,5.0,2008-08-01,258173.0
Ran Kan Kan,Nestor Torres,7JVDdtUdfEWz0Qh7z8sEyi,6UPR71N8URmBFliVYZQSjE,Mi Alma Latina (My Latin Soul),0rOv8biW1QoVBxjstOWoCs,12.0,2002-08-07,194266.0
Walk Away From Love,Willie Clayton,6Wiqv0jLWkUnQqRHa2QR7V,4p3kRrgs2mUhpZfq0hKdrB,Sings The Number Ones,5YtfmlJnLT6TR7kiBKqNhj,8.0,2018-11-23,256165.0
Strange Things,Tanto Metro & Devonte,4PtnUQgXnNZ5pBVcRf90yy,5JEjWmhcC6wzKrGj6R2OWy,Riddim Driven: Celebration,4mVpYIVAOE8sEdYuL8HDpd,0.0,2009-05-13,158200.0
